CNPJ,Loja,Segmento,GP,GN,Feirao,Comercial,Gestor,Estoque,Faixa_Estoque,Ultima_Atualizacao,Faixa_Atualizacao,Status_Pgto
10578544000199,J.P. MULTIMARCAS SAO SIMAO COMERCIO DE VEICULOS LTDA,RevendaCarro,SPINT3 - FABIO YOSHIKAZU TANIGUTI,AYRES RODRIGO VALENTE LUCARINI,FEIRÃO SETEMBRO - M,Andre Souza,Luana Mota,0,Sem Estoque,08/11/2022,Acima de 90 dias,PAGA
10590122000139,Orlando Martins Veiculos Ltda,RevendaCarro,SP7 - FLAVIA DE FATIMA CORREA,Rodolfo Santos de Assunção Tirolli,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,0,Sem Estoque,22/02/2024,Acima de 90 dias,PENDENTE_ACEITE
10594154000102,DOURADOS AUTOMOVEIS EIRELI,RevendaCarro,CO2 - THEONILO GONCALINO DE ALMEIDA,Zamara Rodrigues Fraga,FEIRÃO SETEMBRO - P,Tatiane Silva,Renan Winterink,13,Até 20,24/11/2022,Acima de 90 dias,PAGA
10596363000195,Tareco Automoveis,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Diego de Moraes Subtil,Feirão Pontual - 2 Feirões,Gabriel Pereira,Renan Winterink,0,Sem Estoque,06/11/2025,Acima de 90 dias,PAGA
10632554000165,gil veiculos,Revenda Multimarcas,PR1 - DOUGLAS INÁCIO DA SILVA,guilherme grochau de oliveira,Feirão Pontual - Feirão Setembro,Lucynara Ochiai,Renan Winterink,33,Até 50,27/08/2026,Até 15 dias,PAGA
10635988000119,VARGAS VEICULOS,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,Neide Tomaz da Costa,Feirão Pontual - Feirão Setembro,Ludmila Martins,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
10648710000186,Seven,Revenda Multimarcas,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,Marcos Luís Freitas de Santana,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,21,Até 30,28/08/2026,Até 15 dias,PAGA
10671286000190,Novo Ciclo Automoveis,RevendaCarro,SC1 - ELIANE DA SILVEIRA,Julio cesar oliveira  farias,FEIRÃO SETEMBRO - M,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
1068498000197,zanette multimarcas,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,TauanTeixeira@hotmail.com,Feirão Pontual - Feirão Setembro,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
10745524000165,Garagem7,Revenda Multimarcas,SP3 - EDWARD PEREZ CAMPOS,Plinio Viani Rangel de Farias,Feirão Pontual - Feirão Setembro,Luana Marques,Juliana Grande,0,Sem Estoque,20/07/2023,Acima de 90 dias,EM PROCESSAMENTO
10802508000167,Mooving motors comércio de veículos Vr ltda,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,Carolina jardim Rocha Araújo,Feirão Pontual - 2 Feirões,Ludmila Martins,Renan Winterink,26,Até 30,17/08/2026,Até 15 dias,PAGA
10820998000124,PAI E FILHO AUTOMÓVEIS,RevendaCarro,SC2 - FABIANO HEIL DIAS,JAILSON MORAES,FEIRÃO SETEMBRO - M,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
10896690000162,LEANCAR COMÉRCIO DE AUTOMÓVEIS,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,CLICIA SOUZA DOS SANTOS,Feirão Pontual - Feirão Setembro,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
10906757000100,ZUPT CAR MULTIMARCAS EIRELI,RevendaCarro,SP4 - TIAGO FLORIANO OLIVEIRA,Viviani dos Santos Freitas,2 FEIROES - G,Luana Marques,Juliana Grande,115,Acima 101,31/08/2026,Até 15 dias,PAGA
11046006000116,UNICAR VEICULOS LTDA,RevendaCarro,MG1 - DOUGLAS HENRIQUE FERREIRA,Juliana Nogueira Lemos Gomes,FEIRÃO SETEMBRO - P,Ludmila Martins,Renan Winterink,0,Sem Estoque,30/11/2022,Acima de 90 dias,PAGA
11072096000110,CIA CAR VEICULOS LTDA,RevendaCarro,CO2 - THEONILO GONCALINO DE ALMEIDA,Henry Christian Pacheco,FEIRÃO SETEMBRO - P,Tatiane Silva,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
11118066000105,VACCARI VEICULOS LTDA,Revenda Multimarcas,NO1 - MARCOS WILLIAM MAIA LEMES JUNIOR,MARCOS RODRIGUES DE MORAIS AZAMBUJA,Feirão Pontual - 3 Feirões,,,1,Até 5,15/05/2026,Acima de 90 dias,PAGA
11240523000121,attractive Multimarcas,Revenda Multimarcas,SP3 - EDWARD PEREZ CAMPOS,FRANCISCO ESIO DANTAS FRANCO,Feirão Pontual - Feirão Setembro,Luana Marques,Juliana Grande,0,Sem Estoque,18/01/2025,Acima de 90 dias,EM PROCESSAMENTO
11406563000109,A K DE MEDEIROS PEREIRA,RevendaCarro,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,Claudia de Lima Campelo,FEIRÃO SETEMBRO - P,Ruana Figueroa,Fernanda Souza,0,Sem Estoque,05/03/2024,Acima de 90 dias,PAGA
11447979000167,T BARBOSA  ALVES EIRELI,Revenda Multimarcas,NO2 - LUIZ CLAUDIO DA PALMA DE ALMEIDA MAIA,VANESSA CARVALHO SOARES,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,10,Até 10,17/08/2026,Até 15 dias,PAGA
11483268000148,Tech Motors Car Service Ltda.,Revenda Multimarcas,SP5 - STEPHANIE REIS,Cassia Leite de Oliveira,Feirão Pontual - Feirão Setembro,Andre Souza,Luana Mota,0,Sem Estoque,,Nunca atualizou,PAGA
11771648000188,PISCAR VEICULOS LTDA,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,WESLEY PAULO GONCALVES,Feirão Pontual - 3 Feirões,Ludmila Martins,Renan Winterink,112,Acima 101,31/08/2026,Até 15 dias,PAGA
11938018000155,DANIELA NASCIMENTO PESSOA 06008956613,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,Marcella Guimaraes Souza,Feirão Pontual - Feirão Setembro,Ludmila Martins,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
12002394000104,NORTE COMERCIO DE AUTOMOVEIS LTDA,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,Karen Sabrina Neves da Silva,Feirão Pontual - 3 Feirões,Ludmila Martins,Renan Winterink,41,Até 50,29/08/2026,Até 15 dias,PAGA
12021913000173,PAZIN E HYPOLITO COMERCIO DE VEICULOS LTDA,RevendaCarro,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,Douglas de Barros Sobral,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA
12040246000176,Uniao Veiculos,RevendaCarro,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,Geisinea Rocha Mascarenhas,FEIRÃO SETEMBRO - P,Fernanda Souza,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA
1228564000149,São Lucas Automóveis Ltda,RevendaCarro,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,CARLOS EDUARDO LOCIO ROSADO,FEIRÃO SETEMBRO - P,Ruana Figueroa,Fernanda Souza,0,Sem Estoque,20/01/2026,Acima de 90 dias,AGUARDANDO_PAGAMENTO
12405082000133,Samuel Automoveis,RevendaCarro,SPINT3 - FABIO YOSHIKAZU TANIGUTI,jose alex bezerra,FEIRÃO SETEMBRO - M,Andre Souza,Luana Mota,0,Sem Estoque,17/03/2017,Acima de 90 dias,PAGA
12466008000127,J & P COMERCIO VAREJISTA DE VEICULOS AUTOMOTORES LTDA,RevendaCarro,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,Felipe Caldas Cavalcante,FEIRÃO SETEMBRO - P,Ruana Figueroa,Fernanda Souza,25,Até 30,31/08/2026,Até 15 dias,PENDENTE_ACEITE
12512439000182,RONALDO VEICULOS,RevendaCarro,PR1 - DOUGLAS INÁCIO DA SILVA,Carlos Eduardo,FEIRÃO SETEMBRO - M,Lucynara Ochiai,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
12550975000172,JV multimarcas,RevendaCarro,CO1 - NADIA JAMAYARA CARDOSO PRIMO,ELTON APARECIDO DE SOUZA,FEIRÃO SETEMBRO - P,Tatiane Silva,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
12598986000122,AUTOVEL MULTIMARCAS LTDA,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,VITOR DA CUNHA MALLMANN,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,31,Até 50,28/08/2026,Até 15 dias,PAGA
12605410000145,LS CAR,Revenda Multimarcas,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,SIDNEI MIRANDA DE SOUSA,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,17,Até 20,23/07/2026,31 a 60 dias,PAGA
12638221000179,AUTENTICAR COMERCIO E LOCADORA DE VEICULOS LTDA,RevendaCarro,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,Aline Ticiane Saraiva Queiroz,FEIRÃO SETEMBRO - P,Ruana Figueroa,Fernanda Souza,0,Sem Estoque,30/10/2021,Acima de 90 dias,PAGA
12670684000118,Zafani Premium,RevendaCarro,SPINT3 - FABIO YOSHIKAZU TANIGUTI,Adriana Mara da silva,FEIRÃO SETEMBRO - G,Andre Souza,Luana Mota,0,Sem Estoque,,Nunca atualizou,PAGA
12730728000158,MR2 MULTIMARCAS,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,JEFFERSON SOARES DA SILVA MONTEIRO,Feirão Pontual - Feirão Setembro,Gabriel Pereira,Renan Winterink,64,Até 100,29/08/2026,Até 15 dias,PAGA
12960635000110,MURILO RIBEIRO DE BARROS,Revenda Multimarcas,SPINT5 - EDILSON BERNAL MOLEIRO,VERIDIANA FURLANI HUMMEL DOS SANTOS,Feirão Pontual - 3 Feirões,Juliana Grande,Juliana Grande,49,Até 50,29/08/2026,Até 15 dias,PAGA
13033879000110,CARVALHO & MARINHO LTDA,Revenda Multimarcas,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,KRYSLAISA FONSECA FERRO,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,33,Até 50,29/08/2026,Até 15 dias,PAGA
1306870000156,RIAL LITORAL COMERCIO DE VEICULOS USADOS LIMITADA,Revenda Multimarcas,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,SIDNEI MIRANDA DE SOUSA,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,45,Até 50,29/08/2026,Até 15 dias,PAGA
13069981000175,GAROPACAR,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Diego de Moraes Subtil,Feirão Pontual - Feirão Setembro,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
13165174000156,Anis Car comércio de veículos Ltda,Revenda Multimarcas,SP4 - TIAGO FLORIANO OLIVEIRA,Alvaro de Moura Lima Junior,Feirão Pontual - Feirão Setembro,Luana Marques,Juliana Grande,29,Até 30,31/08/2026,Até 15 dias,PAGA
13181780000165,PAULO ROBERTO RAIMUNDO JUNIOR,RevendaCarro,SPINT2 - MARCELO DE SOUSA CAETANO,Matheus William do Prado,FEIRÃO SETEMBRO - G,Juliana Grande,Juliana Grande,0,Sem Estoque,07/07/2026,31 a 60 dias,PENDENTE_ACEITE
1322481000114,W-STOEBERL COMERCIO DE VEICULOS LTDA,RevendaCarro,SC2 - FABIANO HEIL DIAS,Marlon José Zaranski,FEIRÃO SETEMBRO - M,Gabriel Pereira,Renan Winterink,30,Até 30,27/08/2026,Até 15 dias,PAGA
13331221000194,VAGNER LUIZ FRANCO VEICULOS LTDA,RevendaCarro,SPINT3 - FABIO YOSHIKAZU TANIGUTI,EDUARDO MACIEL,FEIRÃO SETEMBRO - M,Andre Souza,Luana Mota,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO
13371614000121,IMPECAR VEICULOS MULTIMARCAS LTDA,RevendaCarro,RS1 - DAIANE DOS SANTOS CORREA,Adriana Alles,FEIRÃO SETEMBRO - P,Bruna de Paula,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE
13372105000113,101 veiculos,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Everton Mateus Marczinski,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,280,Acima 101,31/08/2026,Até 15 dias,PAGA
13414720000145,AUTO CAR MULTIMARCAS LTDA,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,CLICIA SOUZA DOS SANTOS,Feirão Pontual - Feirão Setembro,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
13431979000102,MELO VEICULOS LTDA,RevendaCarro,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,Felipe Caldas Cavalcante,FEIRÃO SETEMBRO - P,Ruana Figueroa,Fernanda Souza,6,Até 10,23/07/2024,Acima de 90 dias,PAGA
13480511000108,ETELVANE VEICULOS LTDA,Revenda Multimarcas,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,ALISON KODI HIRATA,Feirão Pontual - 3 Feirões,Ruana Figueroa,Fernanda Souza,4,Até 5,27/07/2026,31 a 60 dias,PAGA
13554926000170,V.W AUTOMOVEIS,Revenda Multimarcas,SE1 - BRUNO NOGUEIRA MARTINS,Thayna Castelari Longui Buson,Feirão Pontual - Feirão Setembro,Ludmila Martins,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
13694587000128,Santa Catarina Automoveis - Joinville,RevendaCarro,SC1 - ELIANE DA SILVEIRA,jefferson soares da silva monteiro,FEIRÃO SETEMBRO - P,Gabriel Pereira,Renan Winterink,32,Até 50,26/08/2026,Até 15 dias,PAGA
13705688000157,Vovo Veiculos,RevendaCarro,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,ELISIA NATALY LIMA MARTINS BARROS,2 FEIROES - P,Fernanda Souza,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA
13800773000102,Connect Veiculos,RevendaCarro,SPINT3 - FABIO YOSHIKAZU TANIGUTI,Guilherme de oliveira matos aiello,FEIRÃO SETEMBRO - M,Andre Souza,Luana Mota,0,Sem Estoque,,Nunca atualizou,PAGA
13968010000167,Gauchinho Veiculos,RevendaCarro,PR2 - MARIA INES ANTUNES,Anderson Lino peteoski,FEIRÃO SETEMBRO - M,Lucynara Ochiai,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE
13995056000175,INOVACAR,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Mateus da Silva Dutra,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,39,Até 50,31/08/2026,Até 15 dias,PAGA
14008545000159,Sandro Veiculos,Revenda Multimarcas,NO2 - LUIZ CLAUDIO DA PALMA DE ALMEIDA MAIA,Ana Maria Walfredo Neves,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,1,Até 5,15/05/2026,Acima de 90 dias,PAGA
14011955000159,Cvc vip comércio de veiculos,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,Clodomiro Vaz da Silva Neto,Feirão Pontual - 3 Feirões,Ludmila Martins,Renan Winterink,20,Até 20,14/05/2026,Acima de 90 dias,PAGA
14024658000148,TVLAR MOTOS,Concessionária,NO1 - MARCOS WILLIAM MAIA LEMES JUNIOR,Aldo Vale de Jesus Júnior,Feirão Pontual - 3 Feirões,,,15,Até 20,15/05/2026,Acima de 90 dias,PAGA
14047458000100,B V M COMERCIO LTDA,Revenda Multimarcas,NO2 - LUIZ CLAUDIO DA PALMA DE ALMEIDA MAIA,Nayade Sabrina Mendes Malato,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,0,Sem Estoque,03/03/2026,Acima de 90 dias,5 PARC ATRASO
14214368000167,MINAS CAR MULTIMARCAS LTDA,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,ALBE RICARDO MICHETTE RAMOS,Feirão Pontual - 3 Feirões,Ludmila Martins,Renan Winterink,26,Até 30,18/05/2026,Acima de 90 dias,PAGA
14239814000198,BLUE COMERCIO DE VEICULOS LTDA,RevendaCarro,SPINT1 - CHRISTIANE LOPES,Rafael,FEIRÃO SETEMBRO - G,Juliana Grande,Juliana Grande,369,Acima 101,31/08/2026,Até 15 dias,PAGA
14265315000175,FENIX VEICULOS,Revenda Multimarcas,NO2 - LUIZ CLAUDIO DA PALMA DE ALMEIDA MAIA,Ana Maria Walfredo Neves,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,6,Até 10,03/08/2026,Até 30 dias,PAGA
14301312000140,LOC WEB COMERCIO DE VEICULOS EIRELI,RevendaCarro,SP4 - TIAGO FLORIANO OLIVEIRA,Ricardo Francisco Catarino,FEIRÃO SETEMBRO - P,Luana Marques,Juliana Grande,0,Sem Estoque,21/01/2022,Acima de 90 dias,PAGA
14315177000191,VEICULOS SEMI NOVOS JOAO PAULO DA SILVA FERNANDES MONTEIRO LTDA,RevendaCarro,CO1 - NADIA JAMAYARA CARDOSO PRIMO,GENIVAL CRUZ,2 FEIROES - P,Tatiane Silva,Renan Winterink,7,Até 10,26/08/2026,Até 15 dias,PAGA
14332130000136,Dan Comercio de Veículos LTDA,Revenda Multimarcas,SE1 - BRUNO NOGUEIRA MARTINS,Letícia Alves e Lima,Feirão Pontual - Feirão Setembro,Ludmila Martins,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
14356204000174,Alpina Comercio de Veículos Novos e Usados Ltda,Revenda Multimarcas,SP4 - TIAGO FLORIANO OLIVEIRA,Renato Lourenço Vieira,Feirão Pontual - 3 Feirões,Luana Marques,Juliana Grande,64,Até 100,28/08/2026,Até 15 dias,PAGA
14410646000151,FABRI E FERREIRA PRUDENTE COMERCIO DE VEICULOS LTDA,RevendaCarro,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,Gilson Bonome,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,31,Até 50,25/08/2026,Até 15 dias,PAGA
14412853000145,Ouro Car,Revenda Multimarcas,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,Marcos Luís Freitas de Santana,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,2,Até 5,20/03/2024,Acima de 90 dias,PAGA
14426556000159,ESQUINA MOTORS,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,EVERTON MATEUS MARCZINSKI,Feirão Pontual - Feirão Setembro,Gabriel Pereira,Renan Winterink,86,Até 100,28/08/2026,Até 15 dias,EM PROCESSAMENTO
14468597000108,FINANCE CAR LTDA,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,marcos vincius do couto,Feirão Pontual - 2 Feirões,Ludmila Martins,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
14474007000150,STANDER MULTIMARCAS LTDA,Revenda Multimarcas,RS1 - DAIANE DOS SANTOS CORREA,PATRICIA BILHALVA,Feirão Pontual - Feirão Setembro,Bruna de Paula,Renan Winterink,9,Até 10,15/08/2026,Até 30 dias,PAGA
14498318000159,AUTO REPASSE VEICULOS LTDA,RevendaCarro,SPINT5 - EDILSON BERNAL MOLEIRO,ANDREIA FIASCHI ANDREOLI,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,41,Até 50,31/08/2026,Até 15 dias,PENDENTE_ACEITE
14520313000185,PIRACICABANO VEICULOS LTDA,RevendaCarro,SPINT1 - CHRISTIANE LOPES,Caique Costa Pelegrino,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,61,Até 100,29/08/2026,Até 15 dias,PAGA
14520702000100,Cak veículos,Revenda Multimarcas,CO1 - NADIA JAMAYARA CARDOSO PRIMO,Sandra Soares da Nóbrega,Feirão Pontual - 3 Feirões,Tatiane Silva,Renan Winterink,58,Até 100,31/08/2026,Até 15 dias,1 PARC ATRASO
14531458000181,FELIPE VAL PITSCH & CIA LTDA,RevendaCarro,SPINT3 - FABIO YOSHIKAZU TANIGUTI,AYRES RODRIGO VALENTE LUCARINI,FEIRÃO SETEMBRO - M,Andre Souza,Luana Mota,8,Até 10,19/05/2026,Acima de 90 dias,PAGA
14585637000100,LEITAO MOTOS,Revenda Multimarcas,NE1 - FRANCISCA IVANISE CARVALHO FERNANDES,Ennes Carlos Simoes Maciel,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA
14624908000180,SINAI MOTORS COMERCIO DE VEICULOS LTDA,RevendaCarro,SP3 - EDWARD PEREZ CAMPOS,LEANDRO PIGNATARI,FEIRÃO SETEMBRO - P,Luana Marques,Juliana Grande,0,Sem Estoque,25/02/2026,Acima de 90 dias,PAGA
14709550000199,JB MOTORS VEICULOS LTDA,RevendaCarro,CO2 - THEONILO GONCALINO DE ALMEIDA,liliane deknis,FEIRÃO SETEMBRO - P,Tatiane Silva,Renan Winterink,0,Sem Estoque,07/08/2025,Acima de 90 dias,AGUARDANDO_PAGAMENTO
14713934000185,RL VEICULOS MULTMARCAS,Revenda Multimarcas,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,Felipe Caldas,Feirão Pontual - 3 Feirões,Ruana Figueroa,Fernanda Souza,31,Até 50,08/04/2026,Acima de 90 dias,1 PARC ATRASO
14926748000124,VITEC COMERCIO E SERVICOS - LTDA,RevendaCarro,CO1 - NADIA JAMAYARA CARDOSO PRIMO,Danilo de Lima Rodrigues,2 FEIROES - G,Tatiane Silva,Renan Winterink,0,Sem Estoque,13/06/2025,Acima de 90 dias,PAGA
15121317000153,Nick multimarcas,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Thomas Edison Pereira,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,5,Até 5,22/03/2025,Acima de 90 dias,PAGA
15134906000176,GRIFFE MULTIMARCAS VEICULOS E IMOVEIS LTDA,RevendaCarro,SP7 - FLAVIA DE FATIMA CORREA,Tábata Regina Pereira Lima,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,52,Até 100,28/08/2026,Até 15 dias,PENDENTE_ACEITE
15217191000115,RIBEIRANIA MOTORS,Revenda Multimarcas,SPINT3 - FABIO YOSHIKAZU TANIGUTI,PAULO RENATO FERREIRA DA SILVA,Feirão Pontual - Feirão Setembro,Andre Souza,Luana Mota,78,Até 100,31/08/2026,Até 15 dias,PAGA
15249452000189,Platinum Comercio De Veiculos Ltda,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Ariela da silva,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,78,Até 100,28/08/2026,Até 15 dias,1 PARC ATRASO
15250887000143,V8 Motors,RevendaCarro,PR1 - DOUGLAS INÁCIO DA SILVA,Joao leonardo Dacheri,FEIRÃO SETEMBRO - M,Lucynara Ochiai,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
15271555000145,Green Bay Car,Revenda Multimarcas,SP4 - TIAGO FLORIANO OLIVEIRA,Victoria Barreiro,Feirão Pontual - Feirão Setembro,Luana Marques,Juliana Grande,22,Até 30,28/08/2026,Até 15 dias,PAGA
15383688000103,N1 IMPORTS,Revenda Multimarcas,SP3 - EDWARD PEREZ CAMPOS,FERNANDA RAMOS DONATO,Feirão Pontual - 3 Feirões,Luana Marques,Juliana Grande,24,Até 30,31/08/2026,Até 15 dias,AGUARDANDO_PAGAMENTO
15411152000154,ALEXCAR MULTIMARCAS COMERCIO DE VEICULOS LTDA,RevendaCarro,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,GLAUBER JOSE BELOTO,FEIRÃO SETEMBRO - M,Juliana Grande,Juliana Grande,0,Sem Estoque,21/06/2023,Acima de 90 dias,PAGA
15694471000114,GT MARCAS,Concessionária,SC1 - ELIANE DA SILVEIRA,Cynthia Fernandes Moura,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,9,Até 10,15/05/2026,Acima de 90 dias,PAGA
15770273000192,CRS Comercio de Veiculos,RevendaCarro,SP7 - FLAVIA DE FATIMA CORREA,Natália Gabriele Teixeira,FEIRÃO SETEMBRO - M,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA
1584603000140,KAFKA MULTIMARCAS,RevendaCarro,SC1 - ELIANE DA SILVEIRA,Thomas Edison Pereira,FEIRÃO SETEMBRO - M,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE
