CNPJ,Loja,Segmento,GN,Feirao,Comercial,Estoque,Faixa_Estoque,Ultima_Atualizacao,Faixa_Atualizacao,Status_Pgto,Tem_Credencial,Contato_Wpp,Contato_Email
13372105000113,101 veiculos,Revenda Multimarcas,Everton Mateus Marczinski,Feirão Pontual - 3 Feirões,Gabriel Pereira,280,Acima 101,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
13414720000145,AUTO CAR MULTIMARCAS LTDA,Revenda Multimarcas,CLICIA SOUZA DOS SANTOS,Feirão Pontual - Feirão Setembro,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
13431979000102,MELO VEICULOS LTDA,RevendaCarro,Felipe Caldas Cavalcante,FEIRÃO SETEMBRO - P,Ruana Figueroa,6,Até 10,23/07/2024,Acima de 90 dias,PAGA,Sim,Não,Não
13480511000108,ETELVANE VEICULOS LTDA,Revenda Multimarcas,ALISON KODI HIRATA,Feirão Pontual - 3 Feirões,Ruana Figueroa,4,Até 5,27/07/2026,31 a 60 dias,PAGA,Sim,Sim,Sim
13554926000170,V.W AUTOMOVEIS,Revenda Multimarcas,Thayna Castelari Longui Buson,Feirão Pontual - Feirão Setembro,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
13694587000128,Santa Catarina Automoveis - Joinville,RevendaCarro,jefferson soares da silva monteiro,FEIRÃO SETEMBRO - P,Gabriel Pereira,32,Até 50,26/08/2026,Até 15 dias,PAGA,Sim,Não,Não
13705688000157,Vovo Veiculos,RevendaCarro,ELISIA NATALY LIMA MARTINS BARROS,2 FEIROES - P,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Sim,Sim
13800773000102,Connect Veiculos,RevendaCarro,Guilherme de oliveira matos aiello,FEIRÃO SETEMBRO - M,Andre Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
13968010000167,Gauchinho Veiculos,RevendaCarro,Anderson Lino peteoski,FEIRÃO SETEMBRO - M,Lucynara Ochiai,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE,Sim,Sim,Sim
13995056000175,INOVACAR,Revenda Multimarcas,Mateus da Silva Dutra,Feirão Pontual - 3 Feirões,Gabriel Pereira,39,Até 50,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
14008545000159,Sandro Veiculos,Revenda Multimarcas,Ana Maria Walfredo Neves,Feirão Pontual - 3 Feirões,Fernanda Souza,1,Até 5,15/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
14011955000159,Cvc vip comércio de veiculos,Revenda Multimarcas,Clodomiro Vaz da Silva Neto,Feirão Pontual - 3 Feirões,Ludmila Martins,20,Até 20,14/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
14024658000148,TVLAR MOTOS,Concessionária,Aldo Vale de Jesus Júnior,Feirão Pontual - 3 Feirões,,15,Até 20,15/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
14047458000100,B V M COMERCIO LTDA,Revenda Multimarcas,Nayade Sabrina Mendes Malato,Feirão Pontual - 3 Feirões,Fernanda Souza,0,Sem Estoque,03/03/2026,Acima de 90 dias,5 PARC ATRASO,Não,Não,Não
14214368000167,MINAS CAR MULTIMARCAS LTDA,Revenda Multimarcas,ALBE RICARDO MICHETTE RAMOS,Feirão Pontual - 3 Feirões,Ludmila Martins,26,Até 30,18/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
14239814000198,BLUE COMERCIO DE VEICULOS LTDA,RevendaCarro,Rafael,FEIRÃO SETEMBRO - G,Juliana Grande,369,Acima 101,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
14265315000175,FENIX VEICULOS,Revenda Multimarcas,Ana Maria Walfredo Neves,Feirão Pontual - 3 Feirões,Fernanda Souza,6,Até 10,03/08/2026,Até 30 dias,PAGA,Sim,Sim,Sim
14301312000140,LOC WEB COMERCIO DE VEICULOS EIRELI,RevendaCarro,Ricardo Francisco Catarino,FEIRÃO SETEMBRO - P,Luana Marques,0,Sem Estoque,21/01/2022,Acima de 90 dias,PAGA,Não,Não,Não
14315177000191,VEICULOS SEMI NOVOS JOAO PAULO DA SILVA FERNANDES MONTEIRO LTDA,RevendaCarro,GENIVAL CRUZ,2 FEIROES - P,Tatiane Silva,7,Até 10,26/08/2026,Até 15 dias,PAGA,Não,Sim,Sim
14332130000136,Dan Comercio de Veículos LTDA,Revenda Multimarcas,Letícia Alves e Lima,Feirão Pontual - Feirão Setembro,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Sim,Sim
14356204000174,Alpina Comercio de Veículos Novos e Usados Ltda,Revenda Multimarcas,Renato Lourenço Vieira,Feirão Pontual - 3 Feirões,Luana Marques,64,Até 100,28/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
14410646000151,FABRI E FERREIRA PRUDENTE COMERCIO DE VEICULOS LTDA,RevendaCarro,Gilson Bonome,FEIRÃO SETEMBRO - P,Juliana Grande,31,Até 50,25/08/2026,Até 15 dias,PAGA,Não,Não,Não
14412853000145,Ouro Car,Revenda Multimarcas,Marcos Luís Freitas de Santana,Feirão Pontual - 3 Feirões,Fernanda Souza,2,Até 5,20/03/2024,Acima de 90 dias,PAGA,Sim,Sim,Sim
14426556000159,ESQUINA MOTORS,Revenda Multimarcas,EVERTON MATEUS MARCZINSKI,Feirão Pontual - Feirão Setembro,Gabriel Pereira,86,Até 100,28/08/2026,Até 15 dias,EM PROCESSAMENTO,Sim,Não,Não
14468597000108,FINANCE CAR LTDA,Revenda Multimarcas,marcos vincius do couto,Feirão Pontual - 2 Feirões,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
14474007000150,STANDER MULTIMARCAS LTDA,Revenda Multimarcas,PATRICIA BILHALVA,Feirão Pontual - Feirão Setembro,Bruna de Paula,9,Até 10,15/08/2026,Até 30 dias,PAGA,Sim,Não,Não
14498318000159,AUTO REPASSE VEICULOS LTDA,RevendaCarro,ANDREIA FIASCHI ANDREOLI,FEIRÃO SETEMBRO - P,Juliana Grande,41,Até 50,31/08/2026,Até 15 dias,PENDENTE_ACEITE,Não,Não,Não
14520313000185,PIRACICABANO VEICULOS LTDA,RevendaCarro,Caique Costa Pelegrino,FEIRÃO SETEMBRO - P,Juliana Grande,61,Até 100,29/08/2026,Até 15 dias,PAGA,Não,Não,Não
14520702000100,Cak veículos,Revenda Multimarcas,Sandra Soares da Nóbrega,Feirão Pontual - 3 Feirões,Tatiane Silva,58,Até 100,31/08/2026,Até 15 dias,1 PARC ATRASO,Sim,Sim,Sim
14531458000181,FELIPE VAL PITSCH & CIA LTDA,RevendaCarro,AYRES RODRIGO VALENTE LUCARINI,FEIRÃO SETEMBRO - M,Andre Souza,8,Até 10,19/05/2026,Acima de 90 dias,PAGA,Sim,Não,Não
14585637000100,LEITAO MOTOS,Revenda Multimarcas,Ennes Carlos Simoes Maciel,Feirão Pontual - 3 Feirões,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Sim,Sim
14624908000180,SINAI MOTORS COMERCIO DE VEICULOS LTDA,RevendaCarro,LEANDRO PIGNATARI,FEIRÃO SETEMBRO - P,Luana Marques,0,Sem Estoque,25/02/2026,Acima de 90 dias,PAGA,Não,Não,Não
14709550000199,JB MOTORS VEICULOS LTDA,RevendaCarro,liliane deknis,FEIRÃO SETEMBRO - P,Tatiane Silva,0,Sem Estoque,07/08/2025,Acima de 90 dias,AGUARDANDO_PAGAMENTO,Não,Sim,Sim
14713934000185,RL VEICULOS MULTMARCAS,Revenda Multimarcas,Felipe Caldas,Feirão Pontual - 3 Feirões,Ruana Figueroa,31,Até 50,08/04/2026,Acima de 90 dias,1 PARC ATRASO,Sim,Sim,Sim
14926748000124,VITEC COMERCIO E SERVICOS - LTDA,RevendaCarro,Danilo de Lima Rodrigues,2 FEIROES - G,Tatiane Silva,0,Sem Estoque,13/06/2025,Acima de 90 dias,PAGA,Não,Não,Não
15121317000153,Nick multimarcas,Revenda Multimarcas,Thomas Edison Pereira,Feirão Pontual - 3 Feirões,Gabriel Pereira,5,Até 5,22/03/2025,Acima de 90 dias,PAGA,Sim,Sim,Sim
15134906000176,GRIFFE MULTIMARCAS VEICULOS E IMOVEIS LTDA,RevendaCarro,Tábata Regina Pereira Lima,FEIRÃO SETEMBRO - P,Juliana Grande,52,Até 100,28/08/2026,Até 15 dias,PENDENTE_ACEITE,Não,Não,Não
15217191000115,RIBEIRANIA MOTORS,Revenda Multimarcas,PAULO RENATO FERREIRA DA SILVA,Feirão Pontual - Feirão Setembro,Andre Souza,78,Até 100,31/08/2026,Até 15 dias,PAGA,Sim,Não,Não
15249452000189,Platinum Comercio De Veiculos Ltda,Revenda Multimarcas,Ariela da silva,Feirão Pontual - 3 Feirões,Gabriel Pereira,78,Até 100,28/08/2026,Até 15 dias,1 PARC ATRASO,Sim,Sim,Sim
15250887000143,V8 Motors,RevendaCarro,Joao leonardo Dacheri,FEIRÃO SETEMBRO - M,Lucynara Ochiai,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
15271555000145,Green Bay Car,Revenda Multimarcas,Victoria Barreiro,Feirão Pontual - Feirão Setembro,Luana Marques,22,Até 30,28/08/2026,Até 15 dias,PAGA,Sim,Não,Não
15383688000103,N1 IMPORTS,Revenda Multimarcas,FERNANDA RAMOS DONATO,Feirão Pontual - 3 Feirões,Luana Marques,24,Até 30,31/08/2026,Até 15 dias,AGUARDANDO_PAGAMENTO,Sim,Não,Não
15411152000154,ALEXCAR MULTIMARCAS COMERCIO DE VEICULOS LTDA,RevendaCarro,GLAUBER JOSE BELOTO,FEIRÃO SETEMBRO - M,Juliana Grande,0,Sem Estoque,21/06/2023,Acima de 90 dias,PAGA,Não,Não,Não
15694471000114,GT MARCAS,Concessionária,Cynthia Fernandes Moura,Feirão Pontual - 3 Feirões,Gabriel Pereira,9,Até 10,15/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
15770273000192,CRS Comercio de Veiculos,RevendaCarro,Natália Gabriele Teixeira,FEIRÃO SETEMBRO - M,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
1584603000140,KAFKA MULTIMARCAS,RevendaCarro,Thomas Edison Pereira,FEIRÃO SETEMBRO - M,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE,Não,Não,Não
1623440000168,GONGRA COMERCIO DE VEICULOS LTDA,RevendaCarro,Vitoria Cabral Ferreira,2 FEIROES - P,Lucynara Ochiai,184,Acima 101,26/08/2026,Até 15 dias,PAGA,Não,Não,Não
16526145000160,Arena Motors - Sul,Revenda Multimarcas,Vinícius Santos Silva,Feirão Pontual - 3 Feirões,Juliana Grande,300,Acima 101,31/08/2026,Até 15 dias,2 PARC ATRASO,Sim,Não,Não
16526145000322,Arena Motors - SP Market,Revenda Multimarcas,Vinícius Santos Silva,Feirão Pontual - 3 Feirões,Juliana Grande,222,Acima 101,31/08/2026,Até 15 dias,1 PARC ATRASO,Sim,Não,Não
16526145000403,Arena Motors - Leste ,Revenda Multimarcas,RINAN HELBER DE LIMA BORGES,Feirão Pontual - 3 Feirões,Juliana Grande,291,Acima 101,31/08/2026,Até 15 dias,1 PARC ATRASO,Sim,Sim,Sim
16526145000594,Arena Motors - Santo André,Revenda Multimarcas,RINAN HELBER DE LIMA BORGES,Feirão Pontual - 3 Feirões,Juliana Grande,366,Acima 101,28/08/2026,Até 15 dias,PAGA,Sim,Não,Não
16637319000162,HR MULTIMARCAS VEICULOS EIRELI,RevendaCarro,Karoli Gomes,FEIRÃO SETEMBRO - P,Juliana Grande,0,Sem Estoque,17/08/2022,Acima de 90 dias,AGUARDANDO_PAGAMENTO,Não,Sim,Sim
16836569000121,Divisa Caminhões e Veículos,Revenda Multimarcas,Felipe Ronchi,Feirão Pontual - Feirão Setembro,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
1684526000109,CORONETTI AUTOMOVEIS,Revenda Multimarcas,IVO RODRIGUES DE SOUZA,Feirão Pontual - Feirão Setembro,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
16897929000103,SANTA FÉ MOTORS LTDA,RevendaCarro,Maêda Ferreira Mendes,FEIRÃO SETEMBRO - M,Juliana Grande,0,Sem Estoque,20/08/2025,Acima de 90 dias,PAGA,Não,Não,Não
16923273000148,Bm Automoveis,Revenda Multimarcas,Elaine Cristina Moreira Dias,Feirão Pontual - Feirão Setembro,Ludmila Martins,82,Até 100,28/08/2026,Até 15 dias,PAGA,Sim,Não,Não
16925806000120,MINAS CAR VEICULOS LTDA,RevendaCarro,Thamara Resende Sousa,2 FEIROES - M,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE,Não,Não,Não
17003405000186,GUTO COMERCIO DE VEICULOS LTDA,RevendaCarro,Laís dos Santos Rover,FEIRÃO SETEMBRO - M,Andre Souza,26,Até 30,28/08/2026,Até 15 dias,PAGA,Sim,Não,Não
17042015000115,ELITE CAR VEICULOS,Revenda Multimarcas,CARLOS ROBERTO MACHADO LA ROCCA,Feirão Pontual - Feirão Setembro,Bruna de Paula,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
17047293000165,AJ VEICULOS LTDA,RevendaCarro,Iann Gabriel Moreira de Souza,FEIRÃO SETEMBRO - P,Fernanda Souza,2,Até 5,21/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
17166610000162,Palestra Multimarcas,RevendaCarro,Felipe Santos,FEIRÃO SETEMBRO - M,Luana Marques,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE,Não,Não,Não
17192002000122,K. R. COMERCIO DE VEICULOS LTDA,RevendaCarro,MARLENE LAZARA RONCADA ROSSI,FEIRÃO SETEMBRO - M,Andre Souza,53,Até 100,26/08/2026,Até 15 dias,PAGA,Sim,Não,Não
17318358000160,Felipe Auto,Revenda Multimarcas,Marcos Luís Freitas de Santana,Feirão Pontual - 3 Feirões,Fernanda Souza,5,Até 5,08/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
17338061000166,VIA NORTE MULTIMARCAS LTDA,RevendaCarro,Ricardo Maia Melo,FEIRÃO SETEMBRO - P,Ruana Figueroa,25,Até 30,25/08/2026,Até 15 dias,PENDENTE_ACEITE,Não,Não,Não
17349676000198,TK VEICULOS LTDA,RevendaCarro,Max Rodrigo da Costa Barreto,FEIRÃO SETEMBRO - G,Fernanda Souza,7,Até 10,15/05/2026,Acima de 90 dias,PAGA,Não,Não,Não
17363726000191,NERI VEICULOS LTDA,Revenda Multimarcas,Bruno Marx Vilas Boas da Silva,Feirão Pontual - 3 Feirões,Tatiane Silva,7,Até 10,22/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
17493433000129,Grupo santos,Revenda Multimarcas,Júlio César de Souza,Feirão Pontual - 3 Feirões,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,4 PARC ATRASO,Não,Não,Não
